_AverageReward,_No_optimal_actions,Steps,adv2_0,adv2_1,adv2_2,adv2_last,adv1_0,adv1_1,adv1_2,adv1_last,adv_0_diff,adv_1_diff,adv_2_diff,adv_last_diff,ValFuncLoss,_mean_act,_mean_adv,_min_adv,_max_adv,_std_adv,_Episode,_time_from_beginning_in_minutes,PolicyLoss,Clipping,Max ratio,Min ratio,Mean ratio,PolicyEntropy,KL,lr
25.024675,46,40000,-23.42505797,-43.68616736,-30.540837,-39.95576499,-23.42505797,-43.68617027,-30.54082798,-30.54082798,0,-2.92E-06,9.02E-06,9.41493701,0.01528867,0.534651733,-1.510723424,-6.438172727,0.008314556,0.999999998,31,9.52,28.6913048,0.076,1.0541879,0.9802376,0.9999217,0.3441973,2.44E-05,9.50E-05
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.227725,47,40000,-5.123088403,-6.396106881,-6.396106881,-37.51105958,-5.123088403,-6.396083749,-6.396083749,-6.396083749,0,2.31E-05,2.31E-05,31.11497583,0.014342936,0.530376519,-2.038966088,-7.400613947,-0.07749857,0.999999997,32,9.85,38.71454203,0.072,1.0262595,0.98574454,0.99991125,0.34532976,1.98E-05,9.00E-05
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.63665,47,40000,10.27105495,-12.16072862,10.27105495,-8.017652094,10.27105495,-12.16072862,10.27105495,10.27105495,0,0,0,18.28870704,0.015968372,0.524501225,-1.651560854,-8.378723826,0.039624381,0.999999998,33,10.17,31.36918104,0.068,1.0165958,0.99157256,0.9999884,0.3448548,2.02E-06,8.50E-05
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.5268,46,40000,-23.97368778,-23.97368778,-23.50066956,-39.39161569,-23.97363104,-23.97363104,-23.50061973,-23.50061973,5.67E-05,5.67E-05,4.98E-05,15.89099596,0.019824851,0.53100155,-1.21403832,-7.532506992,-0.039201881,0.999999999,34,10.49,23.0894655,0.064,1.0046059,0.9862685,0.9999915,0.34355626,4.26E-07,8.00E-05
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.75825,47.5,40000,5.116237855,-5.235725701,-47.77735399,-18.76463871,5.116178755,-15.31146491,-45.09828317,-45.09828317,-5.91E-05,-10.07573921,2.67907082,-26.33364447,0.01495585,0.524576229,-1.993386023,-8.414819932,-0.044177226,0.999999998,35,10.82,37.86322844,0.06,1.0041192,0.99371225,0.9999842,0.34520373,5.20E-07,7.50E-05
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
