_AverageReward,_No_optimal_actions,Steps,adv2_-1,adv2_full_-1,adv%1,adv2_-2,adv2_full_-2,adv%2,adv2_-3,adv2_full_-3,adv%3,adv2_first,adv1_-1,adv1_-2,adv1_-3,adv1_first,diff0,diff1,diff2,diff3,ValFuncLoss,_mean_act,_mean_adv,_min_adv,_max_adv,_std_adv,_Episode,_time_from_beginning_in_minutes,PolicyLoss,Clipping,Max ratio,Min ratio,Mean ratio,PolicyEntropy,KL,lr
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.3495,49,40000,-60,-60,100,-63,-122.2812,51.52059352,-66,-186.8162712,35.32882846,-34,-59.95619032,-62.96568935,-65.96277873,-34.12185472,0.04380968,0.034310646,0.037221269,-0.121854718,0.055090054,0.495924796,-0.852276391,-4.207857026,0,0.999999999,1,0.43,16.16788602,0.19,1.1811378,0.7689424,0.99917233,0.34558246,0.000467082,0.0002375
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.612125,47,40000,-33.09062778,-33.09062778,100,41.9842443,9.290042237,451.927378,-6.630256288,2.548491243,-260.1639815,-2.718207822,-47.2910091,38.06110535,-4.626140334,-2.71876941,-14.20038132,-3.923138943,2.004115954,-0.000561588,0.00157155,0.526076304,0.041339686,-6.197458943,2.740756889,0.999999995,17,7.15,-0.801775735,0.03,1.0044507,0.99436474,1.0000011,0.34544915,4.57E-07,3.75E-05
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.19105,48.5,40000,9.484776019,9.484776019,100,10.77112911,20.14227752,53.47522943,-15.1311643,4.769808732,-317.2279047,-2.47470445,9.484504798,10.77112911,-15.13143841,-2.47497334,-0.000271221,0,-0.000274106,-0.000268889,0.000675931,0.52260113,-0.130988505,-4.891191364,7.238302602,0.999999994,18,7.61,2.480969042,0.02,1.0039945,0.99711555,0.99999744,0.34591007,2.31E-07,2.50E-05
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.572425,48,40000,15.11929962,15.11929962,100,26.28763286,41.22580327,63.76499855,23.04365634,63.77557449,36.13241672,24.77995504,20.28750201,33.12367961,23.04365634,13.55907267,5.168202389,6.836046748,0,-11.22088237,0.000708831,0.524351218,0.029644232,-4.468500493,4.93497825,0.999999993,19,8.13,-0.5717495,0.01,1.0008134,0.99923074,0.99999756,0.3458667,5.16E-08,1.25E-05
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.3632,46.5,40000,16.0584508,16.0584508,100,16.0584508,31.92452137,50.30130482,8.915846382,40.45791198,22.03733694,-19.23079806,16.0584508,16.0584508,8.916158819,-19.23115685,0,0,0.000312437,-0.000358782,0.000931197,0.522726136,-0.158629701,-5.139056596,6.566350715,0.999999994,20,8.59,3.003512725,0.01,1.002148,0.99669373,0.99999905,0.3456244,1.06E-07,1.25E-05
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,average: ,-3.935519629,0.457787375,0.182677775,1.193521548,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,avg_abs,3.82306746,3.310673004,2.98068608,3.821572501,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,max diff: ,13.96553591,29.835942,26.6610662,79.76772906,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,max_abs: ,45.99911025,29.835942,27.98706387,79.76772906,,,,,,,,,,,,,,,,
